CardID,Auth,Cur.BB,CU,Avg.BB,OD,CCAge,CUT,Loc,LocT,ODT,AmtT
11111,111,20000,13,60000,4,125,0,3,0,0,0
11112,112,25000,40,55000,20,264,6,4,2,0,9000
11113,113,15000,21,45000,3,111,2,10,2,1,15000
11114,114,100000,90,60000,29,350,1,11,14,0,8500
11115,115,15000,85,61000,17,211,3,3,7,0,12000
11116,116,72000,51,60000,19,321,5,9,0,1,12000
11117,117,20000,43,40000,12,261,0,6,1,0,0
11118,118,23000,31,35000,9,259,4,7,4,0,19000
11119,119,12000,29,45000,7,183,1,10,2,0,16000
11120,120,35000,189,70000,30,269,5,4,10,1,11000
11121,121,77000,31,60000,7,311,2,8,2,0,11000
11122,122,50000,31,65000,9,208,0,2,11,0,0
11123,123,29000,51,55000,16,291,1,6,12,0,14000
11124,124,81000,62,70000,18,196,2,6,3,0,9000
11125,125,13000,83,55000,12,138,4,3,1,1,19000
11126,126,70000,32,50000,9,173,0,2,12,0,0
11127,127,54000,51,75000,9,275,6,9,0,1,7000
11128,128,72000,46,40000,12,271,1,7,2,0,19000
11129,129,14000,103,30000,22,318,1,11,4,1,22000
11130,130,20000,111,61000,29,201,6,5,11,0,14000
